0,5.0000000000,72.0000000000
1,3.7368421053,20.3224959907
2,2.9675833182,5.5869558013,1.0704035493
3,2.5200714243,1.4930373791,1.0612165674
4,2.2717342101,0.3892621177,1.0455939785
5,2.1392807943,0.0996976258,1.0295631663
6,2.0705714507,0.0252531174,1.0172577202
7,2.0355295791,0.0063566058,1.0094044994
8,2.0178272414,0.0015947184,1.0049219538
9,2.0089294267,0.0003993853,1.0025196582
10,2.0044686894,0.0000999352,1.0012750083
11,2.0022353418,0.0000249949,1.0006413652
12,2.0011179206,0.0000062501,1.0003216563
13,2.0005590228,0.0000015627,1.0001610724
14,2.0002795270,0.0000003907,1.0000805980
15,2.0001397674,0.0000000977,1.0000403148
16,2.0000698847,0.0000000244,1.0000201538
17,2.0000349426,0.0000000061,1.0000101605
18,2.0000174714,0.0000000015,1.0000046546
19,2.0000087357,0.0000000004,1.0000035688
20,2.0000043679,0.0000000001,0.9999985300
21,2.0000021839,0.0000000000,1.0000222443
22,2.0000010919,0.0000000000,1.0000120563
23,2.0000005458,0.0000000000,1.0003850229

0,-5.0000000000,-98.0000000000
1,-3.7272727273,-23.8557475582
2,-3.1472957422,-3.9025496463,1.5785465511
3,-3.0079737175,-0.1999792459,1.8262672912
4,-3.0000253110,-0.0006327808,1.9725969850
5,-3.0000000003,-0.0000000064,1.9991727731
6,-3.0000000000,0.0000000000,inf
